phrase,frame,silent,amp,stopbit,pitch,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
0,0,0,5,0,27,96,14,4,4,2,4,3,3,2,7
0,1,0,33,0,25,78,14,5,4,5,2,2,2,2,5
0,2,0,46,0,25,70,13,5,4,6,2,2,2,2,5
0,3,0,50,0,22,66,12,4,6,6,2,2,1,2,4
0,4,0,54,0,20,65,19,2,5,5,2,3,2,1,2
0,5,0,57,0,20,55,21,2,4,4,2,5,1,0,4
0,6,0,57,0,22,48,23,1,3,4,2,5,2,0,3
0,7,0,59,0,23,41,23,2,4,4,2,5,1,0,4
0,8,0,57,0,25,57,19,2,4,4,3,4,1,2,7
0,9,0,53,0,45,66,22,3,5,4,4,4,2,2,6
0,10,0,51,0,45,63,20,3,6,5,5,4,3,1,5
0,11,0,46,0,30,50,24,3,5,5,5,5,4,0,6
0,12,0,41,0,32,45,23,3,3,5,4,4,3,2,6
0,13,0,33,0,32,44,23,3,4,3,4,5,2,1,7
0,14,0,26,0,21,50,20,3,4,4,6,4,2,0,7
0,15,0,19,0,31,56,20,3,5,5,5,5,2,1,5
0,16,0,12,0,37,58,22,3,5,4,4,3,3,0,5
0,17,0,10,0,37,54,20,3,6,4,5,4,3,0,6
0,18,0,19,0,35,59,22,3,5,3,4,3,3,1,5
0,19,0,29,0,30,43,20,2,4,3,4,5,5,1,4
0,20,0,48,0,27,83,21,3,7,4,3,3,2,2,7
0,21,0,56,0,24,58,18,3,5,5,4,4,1,2,6
0,22,0,54,0,21,53,20,3,4,4,3,5,1,0,5
0,23,0,56,0,20,54,22,2,3,3,2,4,1,1,5
0,24,0,59,0,21,49,21,3,4,3,3,4,1,1,5
0,25,0,46,0,23,66,16,3,6,4,5,4,2,4,7
0,26,0,42,0,26,66,20,4,6,4,4,4,3,5,7
0,27,0,42,0,37,48,22,4,6,3,6,5,3,2,5
0,28,0,32,0,26,47,17,4,6,3,5,4,3,3,7
0,29,0,20,0,31,54,17,2,6,3,7,3,3,3,7
0,30,0,8,0,33,77,20,4,7,3,5,2,2,2,6
0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,0,6,0,21,57,20,3,4,1,5,4,3,2,6
0,35,0,38,0,20,60,13,5,3,5,3,3,0,1,6
0,36,0,50,0,35,53,15,4,3,5,4,4,1,0,4
0,37,0,52,0,30,51,15,4,2,4,4,4,0,0,6
0,38,0,55,0,26,49,14,3,3,4,4,4,2,0,4
0,39,0,51,0,26,49,14,4,2,4,4,4,1,0,6
0,40,0,52,0,28,50,16,4,3,3,4,4,0,2,6
0,41,0,40,0,31,70,21,5,5,2,6,4,3,2,7
0,42,0,37,0,39,55,22,4,6,4,5,5,3,0,7
0,43,0,33,0,39,44,21,3,5,4,5,6,3,2,6
0,44,0,22,0,33,47,18,5,4,2,5,4,3,3,5
0,45,0,13,0,33,62,16,6,6,4,5,2,3,4,5
0,46,0,5,0,37,59,19,5,5,3,5,2,2,4,7
0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,0,0,72,16,6,4,4,5,1,3,3,6
0,52,0,23,0,38,57,12,6,3,6,4,1,3,2,6
0,53,0,37,0,38,51,14,6,2,7,3,2,2,1,6
0,54,0,47,0,38,48,13,5,2,6,5,0,2,1,4
0,55,0,47,0,35,47,14,6,2,6,5,1,2,0,3
0,56,0,46,0,32,46,17,6,1,5,4,1,1,1,5
0,57,0,47,0,33,45,16,6,1,5,3,2,1,1,5
0,58,0,51,0,35,44,13,5,2,5,6,3,2,2,4
0,59,0,36,0,39,62,20,4,5,3,6,4,3,4,7
0,60,0,37,0,44,51,20,4,7,4,6,5,2,1,7
0,61,0,38,0,45,38,19,5,6,3,5,5,4,2,6
0,62,0,31,0,45,46,18,4,4,2,6,5,3,3,7
