frame,silent,amp,pitch,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
0,0,5,27,96,14,4,4,2,4,3,3,2,7
1,0,33,25,78,14,5,4,5,2,2,2,2,5
2,0,46,25,70,13,5,4,6,2,2,2,2,5
3,0,50,22,66,12,4,6,6,2,2,1,2,4
4,0,54,20,65,19,2,5,5,2,3,2,1,2
5,0,57,20,55,21,2,4,4,2,5,1,0,4
6,0,57,22,48,23,1,3,4,2,5,2,0,3
7,0,59,23,41,23,2,4,4,2,5,1,0,4
8,0,57,25,57,19,2,4,4,3,4,1,2,7
9,0,53,45,66,22,3,5,4,4,4,2,2,6
10,0,51,45,63,20,3,6,5,5,4,3,1,5
11,0,46,30,50,24,3,5,5,5,5,4,0,6
12,0,41,32,45,23,3,3,5,4,4,3,2,6
13,0,33,32,44,23,3,4,3,4,5,2,1,7
14,0,26,21,50,20,3,4,4,6,4,2,0,7
15,0,19,31,56,20,3,5,5,5,5,2,1,5
16,0,12,37,58,22,3,5,4,4,3,3,0,5
17,0,10,37,54,20,3,6,4,5,4,3,0,6
18,0,19,35,59,22,3,5,3,4,3,3,1,5
19,0,29,30,43,20,2,4,3,4,5,5,1,4
20,0,48,27,83,21,3,7,4,3,3,2,2,7
21,0,56,24,58,18,3,5,5,4,4,1,2,6
22,0,54,21,53,20,3,4,4,3,5,1,0,5
23,0,56,20,54,22,2,3,3,2,4,1,1,5
24,0,59,21,49,21,3,4,3,3,4,1,1,5
25,0,46,23,66,16,3,6,4,5,4,2,4,7
26,0,42,26,66,20,4,6,4,4,4,3,5,7
27,0,42,37,48,22,4,6,3,6,5,3,2,5
28,0,32,26,47,17,4,6,3,5,4,3,3,7
29,0,20,31,54,17,2,6,3,7,3,3,3,7
30,0,8,33,77,20,4,7,3,5,2,2,2,6
31,1,0,0,77,20,4,7,3,5,2,2,2,6
32,1,0,0,77,20,4,7,3,5,2,2,2,6
33,1,0,0,77,20,4,7,3,5,2,2,2,6
34,0,6,21,57,20,3,4,1,5,4,3,2,6
35,0,38,20,60,13,5,3,5,3,3,0,1,6
36,0,50,35,53,15,4,3,5,4,4,1,0,4
37,0,52,30,51,15,4,2,4,4,4,0,0,6
38,0,55,26,49,14,3,3,4,4,4,2,0,4
39,0,51,26,49,14,4,2,4,4,4,1,0,6
40,0,52,28,50,16,4,3,3,4,4,0,2,6
41,0,40,31,70,21,5,5,2,6,4,3,2,7
42,0,37,39,55,22,4,6,4,5,5,3,0,7
43,0,33,39,44,21,3,5,4,5,6,3,2,6
44,0,22,33,47,18,5,4,2,5,4,3,3,5
45,0,13,33,62,16,6,6,4,5,2,3,4,5
46,0,5,37,59,19,5,5,3,5,2,2,4,7
47,1,0,0,59,19,5,5,3,5,2,2,4,7
48,1,0,0,59,19,5,5,3,5,2,2,4,7
49,1,0,0,59,19,5,5,3,5,2,2,4,7
50,1,0,0,59,19,5,5,3,5,2,2,4,7
51,0,2,0,72,16,6,4,4,5,1,3,3,6
52,0,23,38,57,12,6,3,6,4,1,3,2,6
53,0,37,38,51,14,6,2,7,3,2,2,1,6
54,0,47,38,48,13,5,2,6,5,0,2,1,4
